Title,Authors,Year,Journal,DOI,Source
Measurement of {gamma}{sub T} with the {gamma}{sub T} quads on and off,"Xi Yang, James MacLachlan, Charles M. Ankenbrandt",2004,,10.2172/825286,CrossRef
Low energy O2+ and N2+ beam-induced profile broadening effects in Si,"Prakash N. K. Deenapanray, Mladen Petravic",2001,"Journal of Vacuum Science &amp; Technology A: Vacuum, Surfaces, and Films",10.1116/1.1354602,CrossRef
Exact solution for the impact broadening of the hydrogen lines Lyman-beta and Lyman-gamma,"A. Derevianko, E. Oks",1999,The 14th international conference on spectral line shapes,10.1063/1.58304,CrossRef
Measurement uncertainty: A probabilistic theory for intensive entities,"R.C. Michelini, G.B. Rossi",1995,Measurement,10.1016/0263-2241(94)00040-e,CrossRef
Measurement of Diffusion Coefficients by GasChromatography Broadening Techniques: A Review,"Virgil R. Maynard, Eli Grushka",2021,Advances in Chromatography,10.1201/9781003209089-4,CrossRef
"1 Forensic Measurements, Metrology, and Uncertainty",,2016,Measurement Uncertainty in Forensic Science,10.1201/9781315400907-2,CrossRef
"Measurement Uncertainty in Terahertz VNAs: Using Terahertz Vector Network Analyzers for Stable, Accurate Measurement and to Evaluate Uncertainty",Masahiro Horibe,2018,IEEE Microwave Magazine,10.1109/mmm.2017.2779678,CrossRef
Guide for Reporting Uncertainty of Test Results and Use of the Term Measurement Uncertainty in ASTM Test Methods,,,,10.1520/e2655-14r20,CrossRef
A model to set measurement quality objectives and to establish measurement uncertainty expectations in analytical chemistry laboratories using ASTM proficiency test data,"Dean A. Flinchbaugh, Larry F. Crawford, David Bradley",2001,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_15,CrossRef
Uncertainty in the Prediction of Sound Levels,Roger Tompsett,2020,Uncertainty in Acoustics,10.1201/9780429470622-4,CrossRef
Measurement Uncertainty and Decision,,2024,"Quantification, Validation and Uncertainty in Analytical Sciences",10.1002/9783527845279.ch8,CrossRef
The <i>t</i>-distribution and Welch–Satterthwaite formula,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.012,CrossRef
"Self-, N2- and O2-broadening of pure rotational transitions of HFC-134a","Gabriele Cazzoli, Cristina Puzzarini, Luca Dore",2004,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/s0022-4073(03)00113-4,CrossRef
Intrinsic line broadening in NaI(Tl) gamma-ray spectrometers,"C.D. Zerby, A. Meyer, R.B. Murray",1961,Nuclear Instruments and Methods,10.1016/0029-554x(61)90119-7,CrossRef
Guide for Reporting Uncertainty of Test Results and Use of the Term Measurement Uncertainty in ASTM Test Methods,,,,10.1520/e2655,CrossRef
Guide for Reporting Uncertainty of Test Results and Use of the Term Measurement Uncertainty in ASTM Test Methods,,,,10.1520/e2655-08,CrossRef
Line Broadening and the Temperature Exponent of the Fundamental Band in CO–N2 Mixtures,"Adriana Predoi-Cross, Caiyan Luo, P.M. Sinclair, J.R. Drummond, A.D. May",1999,Journal of Molecular Spectroscopy,10.1006/jmsp.1999.7940,CrossRef
Guide for Reporting Uncertainty of Test Results and Use of the Term Measurement Uncertainty in ASTM Test Methods,,,,10.1520/e2655-14,CrossRef
"Probability density, the Gaussian distribution and central limit theorem",,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.010,CrossRef
A thermostatic chamber for doppler-broadening thermometry of mercury vapors,"G. Lopardo, F. Bertiglia, A. Barbone, M. Bertinetti, R. Dematteis, D. Giraudi, L. Gianfrani",2021,Measurement,10.1016/j.measurement.2020.108594,CrossRef
N2-broadening coefficients in the ν3 band of CS2 at room and low temperatures,"Félicité Misago, Muriel Lepère, Jacques Walrand, Jean-Pierre Bouanich, Ghislain Blanquet",2006,Journal of Molecular Spectroscopy,10.1016/j.jms.2006.02.007,CrossRef
"Pressure broadening and collisional narrowing in OH(<i>v</i>=1←0) rovibrational transitions with Ar, He, O2, and N2","A. Schiffman, David J. Nesbitt",1994,The Journal of Chemical Physics,10.1063/1.466462,CrossRef
Magnetic field measurements for N2 and H2 discharges from a low frequency RF inductively coupled plasma source,Chandan Kumar Chakrabarty,2006,Measurement,10.1016/j.measurement.2006.03.003,CrossRef
Uncertainty in Measurement,,2001,Traceable Temperatures,10.1002/0470846151.ch2,CrossRef
Determination of mole fractions in alkali-metal mixtures via collisional broadening from Van der Waals interactions,"Sheng Zou, Ge Jin, Tao Shi, Hong Zhang",2025,Measurement,10.1016/j.measurement.2024.116544,CrossRef
Possibility Expression of Measurement Uncertainty In a Very Limited Knowledge Context,G. Mauris,,Proceedings of the 2006 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement (AMUEM 2006),10.1109/amyem.2006.1650741,CrossRef
N2-broadening coefficients of H216O lines between 8500 and 9300 cm−1,"J.-Y. Mandin, J.-P. Chevillard, J.-M. Flaud, C. Camy-Peyret",1988,Journal of Molecular Spectroscopy,10.1016/0022-2852(88)90330-x,CrossRef
Diode laser measurements of collisional broadening in the ν5 band of C2H2 perturbed by O2 and N2,"Daniel Lambot, Ghislain Blanquet, Jean-Pierre Bouanich",1989,Journal of Molecular Spectroscopy,10.1016/0022-2852(89)90221-x,CrossRef
Determining uncertainty and improving the accuracy of color measurement,J.A. Ladson,2010,Colour Measurement,10.1533/9780857090195.1.184,CrossRef
Point-straight line distance as model for uncertainty evaluation of coordinate measurement,Wojciech Płowucha,2019,Measurement,10.1016/j.measurement.2018.11.008,CrossRef
Measurement uncertainty,Jeffrey H Williams,2016,Quantifying Measurement,10.1088/978-1-6817-4433-9ch5,CrossRef
Case Studies for Knowledge Measurement,Kerstin Fink,2004,Knowledge Potential Measurement and Uncertainty,10.1007/978-3-322-81240-7_6,CrossRef
Diode-laser measurements of N2-broadening coefficients in the ν2 band of HCN,"Carole Schmidt, Daniel Lambot, Jacques Walrand, Ghislain Blanquet, Jean-Pierre Bouanich",1992,Journal of Molecular Spectroscopy,10.1016/0022-2852(92)90566-7,CrossRef
Diode-laser measurements and calculations of N2-broadening coefficients in the ν7 band of ethylene,"Ghislain Blanquet, Jean-Pierre Bouanich, Jacques Walrand, Muriel Lepère",2005,Journal of Molecular Spectroscopy,10.1016/j.jms.2004.09.004,CrossRef
Development of a microscopic computer aided measurement system and its uncertainty,E.S. Gadelmawla,2008,Measurement,10.1016/j.measurement.2008.03.013,CrossRef
Gamma Glutamyl Transferase to Creatinine Ratio Measurement,,2020,Definitions,10.32388/c5z45l,CrossRef
Determination of measurement uncertainty on coordinate measurement machines by measurement decomposition and utilization of canonical artifacts,"B. Rasnick, B. Cox, M. Sherrill",1996,,10.2172/442078,CrossRef
Measurement uncertainty of direct power measurement using the pulse sensor MA2411B,Yeou-Song Lee,2008,2008 71st ARFTG Microwave Measurement Conference,10.1109/arftg.2008.4633310,CrossRef
Self- and N2-broadening of CH3Br ro-vibrational lines in the ν2 band: The J and K dependence,"Z. Boussetta, F. Kwabia Tchana, H. Aroui",2015,Journal of Molecular Spectroscopy,10.1016/j.jms.2014.12.018,CrossRef
"Pressure Broadening of NO2 by NO2, N2, He, Ar, and Kr Studied with TDLAS","V.V. Pustogov, F. Kuhnemann, B. Sumpf, Y. Heiner, K. Herr",1994,Journal of Molecular Spectroscopy,10.1006/jmsp.1994.1236,CrossRef
Gamma Globulin to Total Protein Ratio Measurement,,2020,Definitions,10.32388/alugli,CrossRef
Measurement Accuracy and Uncertainty Analysis of the X-59 Air Data Probe Calibration Test Entry One,,2023,,10.2514/6.2023-4492.vid,CrossRef
Correction in the laboratory measurement of the rate constant for N2+ + O2 → N2 + O2+ at 300°K,"F.C. Fehsenfeld, A.L. Schmeltekopf, E.E. Ferguson",1965,Planetary and Space Science,10.1016/0032-0633(65)90177-7,CrossRef
Measurement of the CP Violation Parameter $\eta+ - \gamma$,John N. Matthews,1996,,10.2172/1422816,CrossRef
Electroweak physics: measurement of w gamma and z gamma production in pp-bar collisions at s**(1/2) = 1.96 tev,D. Acosta,2005,,10.2172/842913,CrossRef
1399. Measurement of electrical fields in turbulent plasma by Stark broadening of hydrogen lines,,1974,Vacuum,10.1016/0042-207x(74)92251-9,CrossRef
Three statistical approaches for the assessment and interpretation of measurement uncertainty,,,,10.3403/30244779,CrossRef
The Guide to the expression of uncertainty in measurement (GUM)—the new approach,Swanand Rishi,2024,A Practical Handbook on Measurement Uncertainty,10.1088/978-0-7503-6462-1ch6,CrossRef
Uncertainty evaluation in gamma spectrometric measurements: Uncertainty propagation versus Monte Carlo simulation,"H. Ramebäck, P. Lindgren",2018,Applied Radiation and Isotopes,10.1016/j.apradiso.2018.09.024,CrossRef
"Experimental, theoretical and numerical studies of line broadening by disorder: the CO vibrational transition in solid α-(CON2) alloy","C. Turc, B. Perrin, R. Ouillon, P. Ranson",1996,Chemical Physics,10.1016/0301-0104(95)00346-0,CrossRef
Evaluation of uncertainty in measurement based on a Monte Carlo method,"Huaiyan Chen, Yun Cao, Jie Han",2011,JOURNAL OF ELECTRONIC MEASUREMENT AND INSTRUMENT,10.3724/sp.j.1187.2011.00301,CrossRef
An accurate and consistent procedure for the evaluation of measurement uncertainty,Robin Willink,2021,Measurement: Sensors,10.1016/j.measen.2021.100334,CrossRef
Measurement uncertainty of adaptive Chirp-z transform,"Petar Mostarac, Roman Malarić, Hrvoje Hegeduš",2013,Measurement,10.1016/j.measurement.2013.07.001,CrossRef
Broadening the Base of Attitude Measurement,THOMAS M. OSTROM,1975,Contemporary Psychology: A Journal of Reviews,10.1037/0013555,CrossRef
"Uncertainty — statistical approach, 1/f noise and chaos",Petras Serapinas,1998,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_11,CrossRef
General metrology,,,,10.3403/00413917u,CrossRef
Stage Measurement Uncertainty Example,,,Field Guide to Displacement Measuring Interferometry,10.1117/3.1002328.ch108,CrossRef
Guide for Assessment of Measurement Uncertainty in Fire Tests,,,,10.1520/e2536-06,CrossRef
Measurement of Branching Fractions in Radiative BDecays to eta K gamma and Search for B Decays to eta' K gamma,B. Aubert,2006,,10.2172/878347,CrossRef
Uncertainty — The key topic of metrology in chemistry,Werner Hässelbarth,1998,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_20,CrossRef
Measurement Uncertainty and Requirements of Production System. Selected Issues of Measurement Uncertainty Theory,Jerzy A. Sładek,2016,Springer Tracts in Mechanical Engineering,10.1007/978-3-662-48465-4_2,CrossRef
Guide for Assessment of Measurement Uncertainty in Fire Tests,,,,10.1520/e2536,CrossRef
The Sleeping Beauty paradox,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.021,CrossRef
Knowledge Potential Measurement and Uncertainty,Kerstin Fink,2004,,10.1007/978-3-322-81240-7,CrossRef
Measurement Uncertainty in Analytical Sciences,,2024,"Quantification, Validation and Uncertainty in Analytical Sciences",10.1002/9783527845279.ch7,CrossRef
Uncertainty in Measuring and Estimating Workplace Noise Exposure,Philip Dunbavin,2020,Uncertainty in Acoustics,10.1201/9780429470622-9,CrossRef
Doppler Broadening of the Annihilation Gamma Line in KCl and LiF,"N. M. Nancheva, D. N. Popov, K. I. Terzijsky, B. N. Zlatov, G. Kh. Tumbev",1985,May 16,10.1515/9783112495124-055,CrossRef
Guide for Assessment of Measurement Uncertainty in Fire Tests,,,,10.1520/e2536-15,CrossRef
Improvement of model evaluation by incorporating prediction and measurement uncertainty,,2017,,10.5194/hess-2017-66-rc2,CrossRef
Guide for Assessment of Measurement Uncertainty in Fire Tests,,,,10.1520/e2536-09,CrossRef
Mobile Plutonium Facility (MPF) Calorimeter Measurement Uncertainty,T. Edwards,2019,,10.2172/1637914,CrossRef
Assessment of uncertainty in calibration and use of flow measurement devices,,,,10.3403/bsisotr7066,CrossRef
Guide for Assessment of Measurement Uncertainty in Fire Tests,,,,10.1520/e2536-21,CrossRef
The joint treatment of several measurands,,,Evaluating the Measurement Uncertainty,10.1887/0750308400/b1099c5,CrossRef
Measurement and communication uncertainty in automated aircraft separation management,Jiezhen Fan,,,10.5204/thesis.eprints.102407,CrossRef
Guide for Assessment of Measurement Uncertainty in Fire Tests,,,,10.1520/e2536-15a,CrossRef
N2-broadening coefficients of methyl chloride at room temperature,"C. Bray, D. Jacquemart, J. Buldyreva, N. Lacome, A. Perrin",2012,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2012.01.028,CrossRef
Managing Uncertainty in Noise Assessment Processes,"Colin Cobbing, Charlotte Clark",2020,Uncertainty in Acoustics,10.1201/9780429470622-13,CrossRef
Modelling and Processing Measurement Uncertainty within the Theory of Evidence,"A. Ferrero, S. Salicone",,Proceedings of the 2006 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement (AMUEM 2006),10.1109/amyem.2006.1650737,CrossRef
Measurement and uncertainty for metrological applications. Repeated measurements and nested experiments,,,,10.3403/30057712u,CrossRef
Measurement and uncertainty for metrological applications. Repeated measurements and nested experiments,,,,10.3403/30057712,CrossRef
Measurement of chemiluminescent reaction cross sections for B+N2O→ BO*+N2 and Ho+N2O→HoO*+N2,"S. P. Tang, N. G. Utterback, J. F. Friichtenicht",1976,The Journal of Chemical Physics,10.1063/1.432701,CrossRef
Three statistical approaches for the assessment and interpretation of measurement uncertainty,,,,10.3403/30244779u,CrossRef
General metrology,,,,10.3403/00413917,CrossRef
Electromagnetic compatibility (EMC),,,,10.3403/30213352,CrossRef
Level measurement by measurement of gamma count rates at the reactor ZLFR / Füllstandsmessung durch Messung von Gamma-Zählraten am Reaktor ZLFR,"J. Pauls, K. Schoop",1993,Kerntechnik,10.1515/kern-1993-580310,CrossRef
Guide for Assessment of Measurement Uncertainty in Fire Tests,,,,10.1520/e2536-14,CrossRef
Measurement Uncertainty (<scp>MU</scp>),,2024,"Quantification, Validation and Uncertainty in Analytical Sciences",10.1002/9783527845279.ch6,CrossRef
Electromagnetic compatibility (EMC),,,,10.3403/30213352u,CrossRef
Paradigms for uncertainty treatments: A comparative analysis with application to measurement,Giampaolo E. D’Errico,2009,Measurement,10.1016/j.measurement.2008.09.001,CrossRef
Physical Nature of Measurement Uncertainty in Metrology,P. A. Arutyunov,2002,Measurement Techniques,10.1023/a:1022002313838,CrossRef
Broadening Strokes,,2020,Broadening Strokes,10.5040/9781350969834,CrossRef
"Optical–optical double resonance LIF measurement of N2(C3Πu, v=2) deactivation rate constant by N2 collisions","G. Dilecce, P.F. Ambrico, S. De Benedictis",2005,Chemical Physics Letters,10.1016/j.cplett.2005.03.107,CrossRef
Measurement of fluid flow: assessment of uncertainty in the calibration and use of flow measurement devices,,,,10.3403/00225593u,CrossRef
An experiment to demonstrate the energy broadening of annihilation gamma rays,"P. J. Ouseph, James L. DuBard",1978,American Journal of Physics,10.1119/1.11113,CrossRef
Error of Measurement and Uncertainty: A Comparison,V. P. Kuznetsov,2003,Measurement Techniques,10.1023/a:1026157229045,CrossRef
Uncertainty analysis for a phase-detector based phase noise measurement system,"P. Salzenstein, T.Y. Wu",2016,Measurement,10.1016/j.measurement.2016.02.026,CrossRef
Measurement and Uncertainty,Peter J. Fabri,2016,Measurement and Analysis in Transforming Healthcare Delivery,10.1007/978-3-319-40812-5_4,CrossRef
Evaluation of uncertainty in a vortex flowmeter measurement,"Zhiqiang Sun, Hongjian Zhang, Jiemin Zhou",2008,Measurement,10.1016/j.measurement.2007.03.001,CrossRef
Facial thermal imaging: A systematic review with guidelines and measurement uncertainty estimation,"Valentina Stanić, Gregor Geršak",2025,Measurement,10.1016/j.measurement.2024.115879,CrossRef
Type-2 Fuzzy Sets for Modeling Uncertainty in Measurement,"A. Mencattini, M. Salmeri, R. Lojacono",,Proceedings of the 2006 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement (AMUEM 2006),10.1109/amyem.2006.1650738,CrossRef
Engineering Measurement Uncertainty: A Plea for Simplicity,C J Parrish,2000,Measurement and Control,10.1177/002029400003300204,CrossRef
Data entropy decomposition into functional and uncertainty components,R. Craig Herndon,2022,Measurement,10.1016/j.measurement.2021.110541,CrossRef
Uncertainty and indeterminacy of measurement data,"V. Giniotis, K.T.V. Grattan, M. Rybokas, R. Kulvietiene",2004,Measurement,10.1016/j.measurement.2004.07.002,CrossRef
(Unbiased) Variance estimation and uncertainty format,Giampaolo E. D’Errico,2011,Measurement,10.1016/j.measurement.2011.03.010,CrossRef
Intrinsic uncertainty in measurement: an interpretation model for metrological standards,"R.C. Michelini, G.B. Rossi",1990,Measurement,10.1016/0263-2241(90)90047-a,CrossRef
Uncertainty Analysis of Measurement Principles Based on Objective Laser Speckle Correlation,"T. Thurner, M. Brandner",,Proceedings of the 2006 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement (AMUEM 2006),10.1109/amyem.2006.1650754,CrossRef
Measurement Uncertainty Within Fuzzy Inference Systems,"Simona Salicone, Marco Prioli",2018,Springer Series in Measurement Science and Technology,10.1007/978-3-319-74139-0_20,CrossRef
Criticalities of Eurachem/CITAC guide uncertainty of qualitative results,Marco Pradella,2022,Measurement,10.1016/j.measurement.2022.110911,CrossRef
Measurement of fluid flow: assessment of uncertainty in the calibration and use of flow measurement devices,,,,10.3403/00225593,CrossRef
A fully-comprehensive mathematical approach to the expression of uncertainty in measurement,"A. Ferrero, S. Salicone",2005,Proceedings of the 2005 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2005.1594595,CrossRef
Comparison of GUM and Monte Carlo methods for evaluating measurement uncertainty of perspiration measurement systems,"Andrew Chen, Chiachung Chen",2016,Measurement,10.1016/j.measurement.2016.03.007,CrossRef
On the Pressure Broadening in the Gamma Bands of Nitric Oxide,"Walter R. Thorson, Richard M. Badger",1957,The Journal of Chemical Physics,10.1063/1.1743797,CrossRef
Sources of Uncertainty: Process and Measurement Variability,Ilya Gertsbakh,2003,Measurement Theory for Engineers,10.1007/978-3-662-08583-7_4,CrossRef
Measurement Process Capability,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.1007/978-3-446-42955-0_1,CrossRef
"Measurement Assurance: Distances, Crime Scenes, and Firearms",,2016,Measurement Uncertainty in Forensic Science,10.1201/9781315400907-14,CrossRef
The evaluation of measurement uncertainty from method validation studies,"Vicki J. Barwick, Stephen L. R. Ellison, Mark J. Q. Rafferty, Rattanjit S. Gill",2000,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_34,CrossRef
Software tools for measurement uncertainty analysis,Larry Meyn,1998,20th AIAA Advanced Measurement and Ground Testing Technology Conference,10.2514/6.1998-2713,CrossRef
Traceability and uncertainty analysis in volume measurements,S. Lorefice,2009,Measurement,10.1016/j.measurement.2009.07.016,CrossRef
Welfare Measurement under Uncertainty,Rauli Svento,1994,Valuing the Environment: Methodological and Measurement Issues,10.1007/978-94-015-8317-6_5,CrossRef
Measurement Process Qualification,"Edgar Dietrich, Alfred Schulze",2011,,10.1007/978-3-446-42955-0,CrossRef
Mathematical Methods to Handle Measurement Uncertainty,"Simona Salicone, Marco Prioli",2018,Springer Series in Measurement Science and Technology,10.1007/978-3-319-74139-0_3,CrossRef
Forward and inverse problems of Type A uncertainty evaluation,Mykhaylo Dorozhovets,2020,Measurement,10.1016/j.measurement.2020.108072,CrossRef
Self- and N2-collisional broadening coefficients of ethylene in the 1800–2350 cm−1 spectral region,"A. Ben Hassen, S. Galalou, F. Kwabia Tchana, M. Dhib, H. Aroui",2016,Journal of Molecular Spectroscopy,10.1016/j.jms.2016.03.013,CrossRef
Measurement control for plutonium isotopic measurements using gamma-ray spectrometry,J.G. Fleissner,1985,,10.2172/5538667,CrossRef
Uncertainty in Prediction of Rail-Induced Ground-Borne Vibration,Jorge D’Avillez,2020,Uncertainty in Acoustics,10.1201/9780429470622-12,CrossRef
Evaluation of uncertainty utilising the component by component approach,Matthias Rösslein,2000,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_10,CrossRef
Air Gauge Adjustment Uncertainty Reduction,Miroslaw Rucki,2007,2007 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2007.4362563,CrossRef
"Structure and broadening coefficients (He, Ar and N2) of the ν4 band of CF4","A.V. Domanskaya, M.V. Tonkov, J. Boissoles",2004,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2003.12.009,CrossRef
Accurate measurement of N2 volumes during N2 washout requires dynamic adjustment of delay time,"J. X. Brunner, G. Wolff, G. Cumming, H. Langenstein",1985,Journal of Applied Physiology,10.1152/jappl.1985.59.3.1008,CrossRef
Industrial tomographic gamma scan for demister evaluation,"Marcio I. Haraguchi, Hae Yong Kim",2021,Measurement,10.1016/j.measurement.2021.109437,CrossRef
N2-broadening coefficients of H216O lines between 9 500 and 11 500 cm−1,"J.-Y. Mandin, J.-P. Chevillard, C. Camy-Peyret, J.-M. Flaud",1989,Journal of Molecular Spectroscopy,10.1016/0022-2852(89)90117-3,CrossRef
In situ determination of N2 broadening coefficients in flames for rotational CARS thermometry,"Yi Gao, Alexis Bohlin, Thomas Seeger, Per-Erik Bengtsson, Christopher J. Kliewer",2013,Proceedings of the Combustion Institute,10.1016/j.proci.2012.05.010,CrossRef
X and Gamma Dose Measurement Using Electrets,,1982,Radiation Protection Dosimetry,10.1093/oxfordjournals.rpd.a080581,CrossRef
"CO2,X (X=CO2, N2, He, NH3) pressure broadening and shift at 10 μm by using a mode tunable RF CO2 laser","S. Marchetti, R. Simili",1989,Il Nuovo Cimento D,10.1007/bf02450548,CrossRef
QUANTITATIVE MEASUREMENT OF GAMMA-RAY-EMITTING RADIONUCLIDES IN METEORITES,M Rowe,1962,,10.2172/4706873,CrossRef
Discrete Ambiguities in the Measurement of the Weak Phase Gamma,Abner Soffer,1999,,10.2172/9998,CrossRef
"95% Coverage factors, k as a function of the number of degrees of freedom, v",,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.015,CrossRef
Pulsed Electron Beam Spectroscopy of N2+ for Temperature and Density Measurement,Joseph Wehrmeyer,2006,44th AIAA Aerospace Sciences Meeting and Exhibit,10.2514/6.2006-833,CrossRef
Measurement of spectral broadening of scattered laser signal propagating through ocean waters,"K. Arora, N.A. Mitchell",,Proceedings of OCEANS '93,10.1109/oceans.1993.326181,CrossRef
Improved implementations of two gamma-ray measurement methods,"J.L. Parker, T.E. Sampson",1993,,10.2172/10102595,CrossRef
Broadening the concept of bipolar disorder: what should be done in the face of uncertainty?,MARK ZIMMERMAN,2011,World Psychiatry,10.1002/j.2051-5545.2011.tb00048.x,CrossRef
Precise Yet Uncertain: Broadening Understandings of Uncertainty and Policy in the BPA Controversy,"Dafne Lemus, Zora Kovacic",2022,Risk Analysis,10.1111/risa.13860,CrossRef
"N2, O2, H2, Ar and He broadening in the ν1 band of NH3","A.S. Pine, V.N. Markov, G. Buffa, O. Tarrini",1993,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(93)90069-t,CrossRef
"Pressure Broadening and Temperature Dependence of Microwave and Far Infrared Rotational Lines in OH Perturbed by N2, O2, and Ar","S. Benec'h, J. Buldyreva, M. Chrysos",2001,Journal of Molecular Spectroscopy,10.1006/jmsp.2001.8457,CrossRef
The unscented transform: a powerful tool for measurement uncertainty evaluation,"L. Angrisani, M. D'Apuzzo, R. Schiano Lo Moriello",,"Proceedings of the 2005 IEEE International Workshop onAdvanced Methods for Uncertainty Estimation in Measurement, 2005.",10.1109/amuem.2005.1594599,CrossRef
Proceedings of the 2006 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,,2006,Proceedings of the 2006 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement (AMUEM 2006),10.1109/amyem.2006.1650729,CrossRef
"$Z+\gamma$ Cross-Section Measurement, $\sigma*BR(Z+\gamma)$, in the Electron Channel for $p\bar{p}$ Collisions at $\sqrt{s}$ = 1.8-TeV, and Limits for the $Z Z \gamma$ and $Z Z \gamma$ Anomalous Couplings",Mary Roach-Bellino,1994,,10.2172/1151518,CrossRef
Simulation analysis of uncertainty of infrared camera measurement and processing path,"W. Minkina, S. Dudzik",2006,Measurement,10.1016/j.measurement.2006.03.001,CrossRef
"The Pressure Broadening of HDO by O2, N2, H2, and He Between 100 and 600 K","T.M. Goyette, D.W. Ferguson, F.C. Delucia, J.M. Dutta, C.R. Jones",1993,Journal of Molecular Spectroscopy,10.1006/jmsp.1993.1292,CrossRef
"Studies on sensitivity, resolution, and Doppler broadening in gamma-ray imaging with pixellated semiconductor detectors","J.H. Lee, C.S. Lee",2004,Nuclear Physics A,10.1016/j.nuclphysa.2004.09.100,CrossRef
Diode-laser measurements of N2-broadening coefficients in the ν10 band of allene at low temperatures,"Laurent Fissiaux, Ghislain Blanquet, Muriel Lepère",2013,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2013.04.029,CrossRef
Beyond the ordinary confidence interval,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.007,CrossRef
A Propensity-Based Framework for Measurement Uncertainty Analysis,Hening Huang,,,10.2139/ssrn.4348577,CrossRef
Pressure Broadening of the 2.4978-THz Rotational Lines of HO2 by N2 and O2,"K. Chance, P. Denatale, M. Bellini, M. Inguscio, G. Dilonardo, L. Fusina",1994,Journal of Molecular Spectroscopy,10.1006/jmsp.1994.1007,CrossRef
N2-broadening coefficients of H216O lines between 13 500 and 19 900 cm−1,"J.-Y. Mandin, J.-P. Chevillard, J.-M. Flaud, C. Camy-Peyret",1989,Journal of Molecular Spectroscopy,10.1016/0022-2852(89)90010-6,CrossRef
Uncertainty on measurement of elastomeric isolators effective properties,"Sebastián Miranda, Juan Carlos de la Llera, Eduardo Miranda",2021,Measurement,10.1016/j.measurement.2021.109511,CrossRef
Uncertainty analysis in a novel method for transformer power losses measurement,"E. Arri, N. Locci",1994,Measurement,10.1016/0263-2241(94)90063-9,CrossRef
Receiver Operating Characteristic Curves and Uncertainty of Measurement,,,Wolfram Demonstrations Project,10.3840/001673,CrossRef
Model-based Type B uncertainty evaluations of measurement towards more objective evaluation strategies,Marcel Boumans,2013,Measurement,10.1016/j.measurement.2013.04.003,CrossRef
"16O3 Polynomial Coefficients An of N2- and O2-Broadening Coefficients for Binned Subbands in the ν3, ν1, and ν2 Bands","Guy Guelachvili, Nathalie Picqué",2019,Molecular Constants Mostly from Infrared Spectroscopy,10.1007/978-3-662-57960-2_147,CrossRef
Estimating measurement uncertainty in an afternoon. A case study in the practical application of measurement uncertainty,Paul Armishaw,2003,Accreditation and Quality Assurance,10.1007/s00769-003-0610-3,CrossRef
Speed-dependent broadening and line mixing in CH4 perturbed by Ar and N2 from multispectrum fits,"A.S. Pine, T. Gabard",2000,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/s0022-4073(99)00222-8,CrossRef
"Investigations on Pressure Broadening Coefficients of NO Lines in the 1←0 Band for N2, CO2, Ar, H2, O2 and He","Sumit Agarwal, Leopold Seifert, Denghao Zhu, Bo Shu, Ravi Fernandes, Zhechao Qu",2023,Applied Sciences,10.3390/app13031370,CrossRef
An introduction to uncertainty in measurement using the GUM (guide to the expression of uncertainty in measurement),,2007,Choice Reviews Online,10.5860/choice.44-3332,CrossRef
Measurement uncertainty and metrological confirmation in quality-oriented organizations,"P. Carbone, D. Macii, D. Petri",2003,Measurement,10.1016/j.measurement.2003.07.003,CrossRef
Measurement Process Capability,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.3139/9783446429550.001,CrossRef
Evaluation using the linear approximation,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.010,CrossRef
Uncertainty,,2015,Introductory Accounting,10.4324/9781315665801-17,CrossRef
Meaningful expressions of uncertainty in measurement,"M G Cox, A O'Hagan",2021,,10.47120/npl.ms27,CrossRef
